Substationcode,Circlecode,Transformervolt rated,Maxvolt actual,Minvolt actual,Max volt permissible,Min volt permissible,Deviation max volt,Deviation min volt,Status max volt,Status min volt
6020012,602,110,11.5,9.6,121,99,109.5,89.4,1,0
6020013,602,11,11.3,10.4,12.1,9.9,0.8,-0.5,1,1
6020014,602,11,11.8,10.6,12.1,9.9,0.3,-0.7,1,1
6020015,602,11,11.7,10.8,12.1,9.9,0.4,-0.9,1,1
6020016,602,11,12,10.8,12.1,9.9,0.1,-0.9,1,1
6020017,602,11,11.4,9.8,12.1,9.9,0.7,0.1,1,0
6020018,602,11,11.2,10.2,12.1,9.9,0.9,-0.3,1,1
6020019,602,11,11.7,10.4,12.1,9.9,0.4,-0.5,1,1
6020020,602,11,11.5,10.1,12.1,9.9,0.6,-0.2,1,1
6020021,602,33,12,10,36.3,29.7,24.3,19.7,1,0
6020022,602,11,11.8,10.6,12.1,9.9,0.3,-0.7,1,1
6040001,604,110,115,90,121,99,6,9,1,0
6040002,604,11,11.6,9.2,12.1,9.9,0.5,0.7,1,0
6040003,604,11,11,8.5,12.1,9.9,1.1,1.4,1,0
6040004,604,11,11.4,9.6,12.1,9.9,0.7,0.3,1,0
6040005,604,11,11.5,8,12.1,9.9,0.6,1.9,1,0
6040006,604,110,110,94,121,99,11,5,1,0
6040007,604,11,12.4,10,12.1,9.9,-0.3,9.9,0,0
6040008,604,11,12,8,12.1,9.9,0.1,1.9,1,0
6040009,604,11,11.2,9.4,12.1,9.9,0.9,0.5,1,0
6040010,604,11,12,9.2,12.1,9.9,0.1,0.7,1,0
6040011,604,11,11,10.3,12.1,9.9,1.1,-0.4,1,1
6040012,604,11,11.2,8,12.1,9.9,0.9,1.9,1,0
6050002,605,11,11.6,10,12.1,9.9,0.5,-0.1,1,1
6050003,605,110,110,100,121,99,121,99,1,0
6050004,605,110,110,100,121,99,121,99,1,0
6050005,605,33,33,31,36.3,29.7,36.3,29.7,1,0
6050006,605,11,11.8,8.9,12.1,9.9,0.3,1,1,0
6050007,605,11,13,9,12.1,9.9,-0.9,0.9,0,0
6050008,605,11,11.5,10.5,12.1,9.9,0.6,-0.6,1,1
6050009,605,11,11.8,10.8,12.1,9.9,0.3,-0.9,1,1
6050011,605,110,110,100,121,99,121,99,1,0
6050012,605,33,33,31,36.3,29.7,36.3,29.7,1,0
6050013,605,22,22.8,21.5,24.2,19.8,1.4,-1.7,1,1
6050014,605,110,110,100,121,99,121,99,1,0
6050015,605,33,33,31,36.3,29.7,36.3,29.7,1,0
6050016,605,110,110,100,121,99,121,99,1,0
6050017,605,11,11.8,9.9,12.1,9.9,0.3,0,1,0
6050018,605,11,12,10.5,12.1,9.9,0.1,-0.6,1,1
6050019,605,33,38,30,36.3,29.7,-1.7,-0.3,0,1
6050020,605,11,12.2,9.4,12.1,9.9,-0.1,0.5,0,0
6050021,605,33,33,31,36.3,29.7,36.3,29.7,1,0
6050022,605,22,25,22,24.2,19.8,-0.8,-2.2,0,1
6050023,605,22,22.5,21,24.2,19.8,1.7,-1.2,1,1
6060001,606,11,11,11,12.1,9.9,1.1,-1.1,1,1
6060002,606,110,107,100,121,99,14,-1,1,1
6060003,606,11,11.5,10.2,12.1,9.9,0.6,-0.3,1,1
6060004,606,110,112,106,121,99,9,-7,1,1
6060005,606,11,11,11,12.1,9.9,1.1,-1.1,1,1
6060006,606,11,11.9,9.6,12.1,9.9,0.2,0.3,1,0
6060007,606,110,110,100,121,99,11,-1,1,1
6060008,606,11,11,10.4,12.1,9.9,1.1,-0.5,1,1
6060009,606,11,12.4,9.8,12.1,9.9,-0.3,0.1,0,0
6060010,606,11,12,10.2,12.1,9.9,0.1,-0.3,1,1
6060011,606,11,11,10,12.1,9.9,12.1,9.9,1,0
6060012,606,11,11.2,9.6,12.1,9.9,0.9,0.3,1,0
6060013,606,11,12,9.8,12.1,9.9,0.1,0.1,1,0
6060014,606,11,12.6,7.6,12.1,9.9,-0.5,2.3,0,0
7010002,701,33,34,27,36.3,29.7,2.3,2.7,1,0
7010003,701,11,11.8,11.2,12.1,9.9,0.3,-1.3,1,1
7010005,701,11,12,9,12.1,9.9,0.1,0.9,1,0
7010006,701,11,12.6,9,12.1,9.9,-0.5,0.9,0,0
7010007,701,33,33.6,32.9,36.3,29.7,2.7,-3.2,1,1
7010008,701,11,11.9,11,12.1,9.9,0.2,-1.1,1,1
7010009,701,11,11,10,12.1,9.9,12.1,9.9,1,0
7010010,701,11,11,10,12.1,9.9,12.1,9.9,1,0
7010011,701,11,11.9,10.6,12.1,9.9,0.2,-0.7,1,1
7010012,701,11,11.6,11,12.1,9.9,0.5,-1.1,1,1
7010013,701,11,11.4,9.2,12.1,9.9,0.7,0.7,1,0
7010014,701,11,11.2,10.2,12.1,9.9,0.9,-0.3,1,1
7010015,701,11,12.8,9,12.1,9.9,-0.7,0.9,0,0
7010016,701,11,11.6,11,12.1,9.9,0.5,-1.1,1,1
7010017,701,11,11.4,10.8,12.1,9.9,0.7,-0.9,1,1
7010018,701,11,11.2,10.8,12.1,9.9,0.9,-0.9,1,1
7010019,701,11,11.8,10.9,12.1,9.9,0.3,-1,1,1
7010020,701,11,11.2,10.2,12.1,9.9,0.9,-0.3,1,1
7010021,701,22,22,21,24.2,19.8,2.2,19.8,1,0
7010022,701,11,11.9,10.8,12.1,9.9,0.2,-0.9,1,1
7010023,701,11,11,10,12.1,9.9,1.1,-0.1,1,1
7010024,701,33,35,32,36.3,29.7,1.3,29.7,1,0
7010025,701,11,11.8,9,12.1,9.9,0.3,0.9,1,0
7010026,701,11,11,10.5,12.1,9.9,1.1,-0.6,1,1
7010027,701,11,11,10,12.1,9.9,1.1,-0.1,1,1
7010028,701,11,11,10.56,12.1,9.9,1.1,-0.66,1,1
7010029,701,11,12,8.5,12.1,9.9,0.1,1.4,1,0
7010030,701,11,11.2,10.8,12.1,9.9,0.9,-0.9,1,1
7020001,702,110,113,96,121,99,8,3,1,0
7020002,702,11,12.6,10.2,12.1,9.9,-0.5,-0.3,0,1
7020003,702,11,11.5,10.1,12.1,9.9,0.6,-0.2,1,1
7020004,702,11,11.5,9.7,12.1,9.9,0.6,0.2,1,0
7020005,702,11,11.2,11,12.1,9.9,0.9,-1.1,1,1
7020006,702,11,11.88,10,12.1,9.9,0.22,9.9,1,0
7020007,702,11,11.08,9,12.1,9.9,1.02,0.9,1,0
7020008,702,11,12,11,12.1,9.9,0.1,-1.1,1,1
7020009,702,11,11.5,10.5,12.1,9.9,0.6,-0.6,1,1
7020010,702,11,11.2,10,12.1,9.9,0.9,-0.1,1,1
7020011,702,33,33,31,36.3,29.7,36,29.7,1,0
7020012,702,11,12,10,12.1,9.9,0.1,-0.1,1,1
7020013,702,11,12,11,12.1,9.9,0.1,-1.1,1,1
7020014,702,11,11.8,10.6,12.1,9.9,0.3,-0.7,1,1
7020015,702,11,12.4,8.8,12.1,9.9,-0.3,1.1,0,0
7020016,702,11,12.8,10.2,12.1,9.9,-0.7,-0.3,0,1
7030001,703,33,34,32,36.3,29.7,2.3,-2.3,1,1
7030002,703,33,34.6,28,36.3,29.7,1.7,1.7,1,0
7030003,703,33,34.6,28,36.3,29.7,1.7,1.7,1,0
7030004,703,11,12.2,9.8,12.1,9.9,-0.1,0.1,0,0
7030005,703,11,12.5,9.5,12.1,9.9,-0.4,0.4,0,0
7030006,703,11,12.6,10.5,12.1,9.9,-0.5,-0.6,0,1
7030007,703,11,11.2,10.4,12.1,9.9,0.9,-0.5,1,1
7030008,703,110,120,102,121,99,1,-3,1,1
7030009,703,110,108,106,121,99,13,-7,1,1
7030010,703,66,75,62.5,72.6,59.4,-2.4,-3.1,0,1
7030011,703,11,11.7,10.1,12.1,9.9,0.4,-0.2,1,1
7030012,703,11,11.6,10,12.1,9.9,0.5,-0.1,1,1
7030013,703,11,11.8,11.2,12.1,9.9,0.3,-1.3,1,1
7030014,703,11,11.5,10.8,12.1,9.9,0.6,-0.9,1,1
7030015,703,11,11.4,11,12.1,9.9,0.7,-1.1,1,1
7030016,703,11,11,10.25,12.1,9.9,1.1,-0.35,1,1
